,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
52,RBS Global Inc,rbs global,4.5,1.5,0,1,0,0.2222222222222222,2,0.5,1,g401
53,Reader's Digest Assn Inc,readers digest assn,5.666666666666667,1.6666666666666667,0,1,0,0.35294117647058826,4,0.0,0,r030
54,Rockwood Specialties Group Inc.,rockwood specialties,9.5,2.5,0,1,0,0.42105263157894735,3,0.0,1,s102
55,Rose Hills Co,rose hills,4.5,1.0,0,1,0,0.3333333333333333,2,0.0,1,h042
56,Archibald Candy Corp,archibald candy,7.0,2.5,1,0,0,0.35714285714285715,3,0.0,1,a620
57,Foamex LP,foamex lp,4.0,2.0,0,1,0,0.375,1,0.5,1,f050
58,Greyhound Lines Inc.,greyhound lines,7.0,1.5,0,1,0,0.42857142857142855,2,0.0,1,g605
59,Gundle/SLT Environmental Inc.,gundleslt environmental,11.0,3.5,0,1,0,0.3181818181818182,4,0.5,1,e510
60,Home Interiors & Gifts Inc.,home interiors gifts,6.0,2.0,0,1,0,0.3888888888888889,3,0.0,0,i530
61,Huntsman Polymers Corp,huntsman polymers,8.0,2.5,0,1,0,0.3125,2,0.0,1,h053
62,Iasis Healthcare LLC,iasis healthcare llc,6.0,1.6666666666666667,0,1,0,0.3888888888888889,3,0.0,0,h043
63,MTVi Group Inc (The),mtvi,4.0,1.0,0,1,0,0.25,1,1.0,1,m310
64,ICG Holdings Canada Inc,icg canada,4.5,2.0,0,1,0,0.4444444444444444,3,0.5,1,c050
65,Millipore Microelectronics,millipore microelectronics,12.5,4.5,0,1,0,0.4,4,0.5,1,m026
66,Sovereign Specialty Chemicals Inc.,sovereign specialty chemicals,9.0,2.6666666666666665,0,1,0,0.4074074074074074,4,0.0,0,s010
67,SPARTA Inc.,sparta,6.0,2.0,0,1,0,0.3333333333333333,2,0.0,1,s106
68,Spheris Inc,spheris,7.0,2.0,0,1,0,0.2857142857142857,2,1.0,1,s106
69,Stanadyne Corp,stanadyne,9.0,3.0,0,1,0,0.4444444444444444,2,1.0,1,s305
70,BTI Telecom Corp.,bti telecom,5.0,2.0,1,0,0,0.4,2,1.0,1,t040
71,Susquehanna Media Co,susquehanna media,8.0,3.5,0,1,0,0.5,3,0.0,1,s020
72,Twenty Services Inc,twenty services,7.0,2.5,0,1,0,0.35714285714285715,3,0.0,1,s061
73,Unifrax Corp,unifrax,7.0,3.0,0,1,0,0.42857142857142855,1,1.0,1,u501
74,United Components Inc.,united components,8.0,3.0,0,1,0,0.375,3,0.0,1,c051
75,United Refining Co,united refining,7.0,3.0,0,1,0,0.42857142857142855,3,0.0,1,r010
76,Universal Hospital Services Inc,universal hospital services,8.333333333333334,3.3333333333333335,0,1,0,0.4,4,0.0,0,u501
77,Muzak LLC,muzak llc,4.0,1.5,0,1,0,0.25,2,0.0,1,m020
78,National Mentor Holdings Inc,national mentor,7.0,2.5,0,1,0,0.42857142857142855,3,0.0,1,n030
79,New World Pasta Co,new world pasta,4.333333333333333,1.3333333333333333,0,1,0,0.3076923076923077,2,0.0,0,w064
80,NextMedia Operating Inc.,nextmedia operating,9.0,3.5,0,1,0,0.4444444444444444,3,0.5,1,n023
81,NTK Holdings Inc,ntk,3.0,1.0,0,1,0,0.0,1,1.0,1,n320
82,Nortek Holdings Inc.,nortek,6.0,2.0,0,1,0,0.3333333333333333,1,1.0,1,n063
83,Outsourcing Solutions Inc,outsourcing solutions,10.0,3.0,0,1,0,0.45,4,0.0,1,o032
84,Northland Cable Television,northland cable television,8.0,2.6666666666666665,0,1,0,0.375,3,0.0,0,t040
85,Omega Cabinets Ltd.,omega cabinets,6.5,3.0,0,1,0,0.46153846153846156,2,0.0,1,c010
86,Pdvsa Finance Ltd,pdvsa finance,6.0,1.5,0,1,0,0.3333333333333333,2,0.5,1,f050
87,Phibro Animal Health Corp,phibro animal health,6.0,2.0,0,1,0,0.3888888888888889,3,0.3333333333333333,0,p016
88,Phoenix Color Corp,phoenix color,6.0,2.0,0,1,0,0.4166666666666667,3,0.0,1,p050
89,Pliant Corp,pliant,6.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,p405
90,Remington Arms Co Inc,remington arms,6.5,2.0,0,1,0,0.3076923076923077,2,0.0,1,r050
91,Anteon Corp,anteon,6.0,2.0,1,0,0,0.5,2,1.0,1,a530
92,SunGard Data Systems Inc,sungard data systems,6.0,2.0,0,1,0,0.3333333333333333,4,0.3333333333333333,0,s052
93,Aqua-Chem Inc,aquachem,8.0,3.0,1,0,0,0.5,2,1.0,1,a202
94,Trump Atlantic City Assocs,trump atlantic city assocs,5.75,2.0,0,1,0,0.34782608695652173,4,0.25,0,a340
95,Argo-Tech Corp,argotech,8.0,3.0,1,0,0,0.375,1,1.0,1,a620
96,Hexion Inc,hexion,6.0,2.0,0,1,0,0.5,1,1.0,1,h020
97,MMI Products Inc.,mmi products,5.5,1.5,0,1,0,0.2727272727272727,2,0.5,1,p603
98,Americo Life Inc.,americo life,5.5,2.5,1,0,0,0.5454545454545454,2,0.0,1,a506
99,Medquest Associates Inc,medquest associates,9.0,3.0,0,1,0,0.4444444444444444,4,0.5,1,a202
100,American Builders & Contractors Supply Co Inc,american builders contractors supply,8.25,2.75,1,0,0,0.36363636363636365,4,0.0,0,c053
101,Madison River Capital LLC,madison river capital llc,5.5,2.25,0,1,0,0.36363636363636365,3,0.0,0,m030
102,Leslies Poolmart,leslies poolmart,7.5,2.0,0,1,0,0.4,3,1.0,1,p045
103,Knowles Electronics Holdings Inc.,knowles electronics,9.0,2.5,0,1,0,0.3333333333333333,3,0.0,1,e402
104,VWR Funding Inc,vwr funding,5.0,1.5,0,0,1,0.2,2,0.5,1,f053
105,Key Components LLC,key components llc,5.333333333333333,1.6666666666666667,0,1,0,0.3125,2,0.0,0,c051
106,American Tissue Inc,american tissue,7.0,3.0,1,0,0,0.5,2,0.0,1,a506
107,American Plumbing & Mechanical Inc.,american plumbing mechanical,8.666666666666666,3.3333333333333335,1,0,0,0.38461538461538464,4,0.0,0,m020
108,Jackson Products Inc,jackson products,7.5,2.0,0,1,0,0.26666666666666666,2,0.0,1,p603
109,Insurance Auto Auctions Inc,insurance auto auctions,7.0,2.3333333333333335,0,1,0,0.5238095238095238,3,0.0,0,i520
110,Icon Health & Fitness Inc,icon health fitness,5.666666666666667,1.6666666666666667,0,1,0,0.35294117647058826,2,0.0,0,f035
111,Affinia Group Intermediate Holdings Inc,affinia intermediate,9.5,4.0,1,0,0,0.5263157894736842,4,0.5,1,i530
112,Benedek Communications Corp,benedek communications,10.5,4.0,1,0,0,0.42857142857142855,3,0.5,1,c050
113,Gymboree Corp (The),gymboree,8.0,3.0,0,1,0,0.5,2,1.0,1,g051
114,Big Heart Pet Brands,big heart pet brands,4.25,1.0,1,0,0,0.29411764705882354,2,0.0,0,b605
115,Western Financial Group Inc,western financial,8.0,2.5,0,0,1,0.375,3,0.0,1,f050
116,Aearo Corp,aearo,5.0,2.0,1,0,0,0.8,2,1.0,1,a060
117,WR Carpenter North America Inc.,wr carpenter north america,5.75,2.25,0,0,1,0.34782608695652173,5,0.0,0,c061
118,Cherokee International LLC,cherokee international llc,8.0,3.0,1,0,0,0.4166666666666667,4,0.0,0,i530
119,Community Distributors Inc,community distributors,10.5,4.0,1,0,0,0.38095238095238093,3,0.0,1,d023
120,Affinion Group Inc,affinion,8.0,3.0,1,0,0,0.5,2,1.0,1,a105
121,Milagro Oil & Gas Inc,milagro oil gas,4.333333333333333,1.6666666666666667,0,1,0,0.46153846153846156,2,0.3333333333333333,0,m040
122,NBTY Inc,nbty,4.0,1.0,0,1,0,0.25,1,1.0,1,n130
123,Pioneer Financial Services Inc/MO,pioneer financial services mo,6.5,2.5,0,1,0,0.46153846153846156,4,0.0,0,f050
124,Smithfield Foods Inc.,smithfield foods,7.5,1.5,0,1,0,0.3333333333333333,2,0.0,1,s503
125,Lodestar Holdings Inc.,lodestar,8.0,2.0,0,1,0,0.375,1,0.0,1,l030
126,BRE Select Hotels Corp,bre select hotels,5.0,1.6666666666666667,1,0,0,0.3333333333333333,4,0.0,0,s040
127,MUFG Americas Holdings Corp,mufg americas,6.0,2.5,0,1,0,0.4166666666666667,2,0.5,1,a506
128,Energy Corp of America,energy of america,5.0,2.6666666666666665,1,0,0,0.5333333333333333,3,0.0,0,a506
129,Evenflo Inc,evenflo,7.0,3.0,1,0,0,0.42857142857142855,2,1.0,1,e105
130,Fonda Group Inc. (The),fonda,5.0,2.0,0,1,0,0.4,1,0.0,1,f053
131,ABC Family Worldwide Inc,abc family worldwide,6.0,2.0,1,0,0,0.3888888888888889,2,0.0,0,w064
132,Glasstech Inc,glasstech,9.0,2.0,0,1,0,0.2222222222222222,2,1.0,1,g402
133,Wells Fargo Real Estate Investment Corp,wells fargo real estate investment,6.0,1.8,0,0,1,0.36666666666666664,6,0.0,0,i510
134,Goss Holdings Inc.,goss,4.0,1.0,0,1,0,0.25,2,0.0,1,g020
135,Marina District Finance Co Inc,marina district finance,7.0,2.3333333333333335,0,1,0,0.38095238095238093,4,0.0,0,d023
136,Great Lakes Carbon Corp,great lakes carbon,5.333333333333333,1.3333333333333333,0,1,0,0.375,3,0.0,0,c061
137,Acorn Holding Corp-Old,acorn old,4.0,1.5,1,0,0,0.375,2,0.0,1,a206
138,Allstate Life Insurance Co,allstate life insurance,7.0,2.0,1,0,0,0.42857142857142855,3,0.0,0,i520
139,Fairfield Manufacturing Company Inc.,fairfield manufacturing company,9.666666666666666,3.3333333333333335,0,1,0,0.41379310344827586,4,0.0,0,m050
140,United Surgical Partners International Inc,united surgical partners international,8.75,3.25,0,1,0,0.4,5,0.0,0,i530
141,Tops Holding II Corp,tops ii,3.0,1.0,0,1,0,0.5,2,0.0,1,t012
142,Logix Communications Enterprises Inc.,logix communications enterprises,10.0,3.6666666666666665,0,1,0,0.4,4,0.3333333333333333,0,c050
143,Brighthouse Life Insurance Co of NY,brighthouse life insurance of ny,5.6,1.6,1,0,0,0.42857142857142855,3,0.2,0,b602
144,QVC Inc,qvc,3.0,1.0,0,1,0,0.0,1,1.0,1,q120
145,Dayton Power & Light Inc,dayton power light,5.333333333333333,1.6666666666666667,1,0,0,0.375,2,0.0,0,d030
146,North Atlantic Trading Inc,north atlantic trading,6.666666666666667,2.0,0,1,0,0.3,4,0.0,0,a340
147,NewsMax Media Inc.,newsmax media,6.0,2.5,0,1,0,0.4166666666666667,2,0.5,1,n025
148,Valemont Supply Ltd,valemont supply,7.0,2.5,0,0,1,0.35714285714285715,2,0.5,1,v040
149,Advance Stores Co Inc,advance stores,6.5,1.5,1,0,0,0.38461538461538464,2,0.0,1,a310
150,American Comercial Lines LLC,american comercial lines llc,6.25,2.25,1,0,0,0.4,4,0.25,0,c050
151,Insight Midwest Lp,insight midwest lp,5.333333333333333,2.0,0,1,0,0.25,3,0.0,0,i520
152,Affinity Gaming LLC,affinity gaming llc,5.666666666666667,2.3333333333333335,1,0,0,0.35294117647058826,3,0.0,0,a105
153,Eastern Energy Gas Holdings LLC,eastern energy gas llc,4.75,1.75,1,0,0,0.3684210526315789,4,0.0,0,e023
154,Stena AB,stena ab,3.5,1.5,0,1,0,0.42857142857142855,2,0.5,1,s305
155,Wheeling Island Gaming Inc,wheeling island gaming,6.666666666666667,2.0,0,0,1,0.35,3,0.0,0,w040
156,TNP Enterprises Inc.,tnp enterprises,7.0,2.5,0,1,0,0.2857142857142857,3,0.5,1,e530
157,Age Research Inc,age research,5.5,1.5,1,0,0,0.45454545454545453,3,0.0,1,r020
158,Universal Energy Group Ltd.,universal energy,7.5,3.5,0,1,0,0.4666666666666667,3,0.0,1,u501
159,EarthFirst Canada Inc,earthfirst canada,8.0,2.5,1,0,0,0.375,4,0.5,1,e063
160,Sanitation Co of Parana,sanitation of parana,6.0,2.6666666666666665,0,1,0,0.5,5,0.0,0,s050
161,American Ammo,american ammo,6.0,3.0,1,0,0,0.5,3,0.0,1,a506
162,Bear Island Paper Co LLC,bear island paper llc,4.5,1.5,1,0,0,0.3333333333333333,3,0.0,0,i240
163,Consolidated Container Co LLC,consolidated container llc,8.0,3.0,1,0,0,0.375,3,0.0,0,c052
164,Diamond Triumph Auto Glass Inc.,diamond triumph auto glass,5.75,1.75,1,0,0,0.391304347826087,3,0.0,0,d050
165,Evercom Inc,evercom,7.0,3.0,1,0,0,0.42857142857142855,2,1.0,1,e106
166,General Chemical Industrial Products Inc.,general chemical industrial products,8.25,3.0,0,1,0,0.36363636363636365,3,0.0,0,i530
167,GEO Specialty Chemicals Inc.,geo specialty chemicals,7.0,2.6666666666666665,0,1,0,0.42857142857142855,3,0.0,0,s102
168,GSI Group Inc. (The),gsi,3.0,1.0,0,1,0,0.3333333333333333,1,1.0,1,g200
169,Henry Co,henry,5.0,2.0,0,1,0,0.4,1,0.0,1,h056
170,Holley Performance Products Inc,holley performance products,8.333333333333334,2.3333333333333335,0,1,0,0.36,3,0.0,0,p061
171,Hollywood Casino Shreveport,hollywood casino shreveport,8.333333333333334,2.6666666666666665,0,1,0,0.4,5,0.0,0,s060
172,Huntsman International Holdings LLC,huntsman international llc,8.0,2.6666666666666665,0,1,0,0.3333333333333333,5,0.0,0,i530
173,ISG Resources Inc,isg resources,6.0,2.0,0,1,0,0.4166666666666667,3,0.5,1,r020
174,Isle Of Capri Black Hawk LLC,isle of capri black hawk llc,3.8333333333333335,1.1666666666666667,0,1,0,0.30434782608695654,4,0.0,0,c016
175,James Cable Partners LP,james cable partners lp,5.0,1.75,0,1,0,0.3,3,0.0,0,p063
176,Kinetek Inc,kinetek,7.0,3.0,0,1,0,0.42857142857142855,2,1.0,1,k050
177,KMC Telecom Holdings Inc,kmc telecom,5.0,2.0,0,1,0,0.3,2,0.5,1,t040
178,La Quinta Properties Inc.,la quinta properties,6.0,2.0,0,1,0,0.4444444444444444,2,0.0,0,p601
179,Land O'Lakes Inc.,land olakes,5.0,2.0,0,1,0,0.4,2,0.5,1,o402
180,Numatics Inc,numatics,8.0,3.0,0,1,0,0.375,1,1.0,1,n050
181,PDV America Inc.,pdv america,5.0,2.5,0,1,0,0.4,2,0.5,1,a506
182,Plastipak Holdings Inc.,plastipak,9.0,3.0,0,1,0,0.3333333333333333,2,1.0,1,p402
183,Portola Packaging Inc,portola packaging,8.0,3.0,0,1,0,0.375,3,0.5,1,p020
184,Precision Partners Inc,precision partners,8.5,2.5,0,1,0,0.35294117647058826,3,0.0,1,p602
185,Printpack Inc.,printpack,9.0,2.0,0,1,0,0.2222222222222222,2,1.0,1,p605
186,Perkins & Marie Callender's Inc,perkins marie callenders,7.333333333333333,2.3333333333333335,0,1,0,0.36363636363636365,4,0.3333333333333333,0,c040
187,Riviera Black Hawk Inc,riviera black hawk,5.333333333333333,2.0,0,1,0,0.375,3,0.0,0,r010
188,Roller Bearing Co Of America,roller bearing of america,5.5,2.25,0,1,0,0.45454545454545453,4,0.0,0,b060
189,Romacorp Inc.,romacorp,8.0,3.0,0,1,0,0.375,2,1.0,1,r050
190,LDM Technologies Inc.,ldm technologies,7.5,2.5,0,1,0,0.3333333333333333,2,0.5,1,t020
191,Luiginos Inc,luiginos,8.0,3.0,0,1,0,0.5,2,1.0,1,l020
192,Majestic Investor Holdings LLC,majestic investor llc,6.333333333333333,2.3333333333333335,0,1,0,0.3157894736842105,2,0.0,0,m020
193,Mattress Discounters Corp,mattress discounters,9.5,2.5,0,1,0,0.3157894736842105,4,0.0,1,d020
194,Mrs. Fields' Original Cookies Inc.,mrs fields original cookies,6.0,2.25,0,1,0,0.4166666666666667,4,0.0,0,o602
195,MTS Inc,mts,3.0,1.0,0,1,0,0.0,1,0.0,1,m320
196,Team Health Inc,team health,5.0,1.0,0,1,0,0.4,2,0.0,1,h043
197,US Timberland Klamathfal LLC,us timberland klamathfal llc,6.25,2.0,0,1,0,0.28,5,0.25,0,t051
198,Werner Holding Co. (DE) Inc.,werner,6.0,2.0,0,0,1,0.3333333333333333,2,0.0,1,w065
199,Williams Scotsman Inc,williams scotsman,8.0,2.0,0,0,1,0.3125,3,0.0,1,w040
200,Windsor Woodmont Black Hawk Resort Corp,windsor woodmont black hawk resort,6.0,1.6,0,0,1,0.3,5,0.2,0,w035
201,Worldwide Flight Services Inc.,worldwide flight services,7.666666666666667,2.0,0,0,1,0.30434782608695654,3,0.0,0,w064
202,Ziff Davis Media Inc.,ziff davis media,4.666666666666667,2.0,0,0,1,0.42857142857142855,3,0.0,0,d010
203,G+G Retail Inc.,gg retail,4.0,1.5,0,1,0,0.375,2,0.0,1,r030
204,PWCC Ltd,pwcc,4.0,1.0,0,1,0,0.0,2,1.0,1,p020
205,Acme Television LLC,acme television llc,5.666666666666667,2.3333333333333335,1,0,0,0.4117647058823529,3,0.0,0,t040
206,Venture Holdings Co LLC,venture llc,5.0,1.5,0,0,1,0.3,2,0.0,1,v053
207,WRC Media Inc.,wrc media,4.0,2.0,0,0,1,0.375,1,0.5,1,m030
208,WayCool3D.com Inc.,waycooldcom,11.0,3.0,0,0,1,0.45454545454545453,3,1.0,1,w020
209,North American Van Lines Inc,north american van lines,5.25,1.75,0,1,0,0.38095238095238093,4,0.0,0,a506
210,Volume Services America Inc,volume services america,7.0,3.0,0,0,1,0.47619047619047616,4,0.0,0,s061
211,Iron Age Holdings Corp,iron age,3.5,1.5,0,1,0,0.5714285714285714,1,0.0,1,i605
212,Penhall International Corp,penhall international,10.0,3.5,0,1,0,0.4,4,0.0,1,i530
213,Northeast Mortgage Corp,northeast mortgage,8.5,2.0,0,1,0,0.35294117647058826,3,0.0,1,n063
214,CP&P Inc.,cpp,3.0,1.0,1,0,0,0.0,2,0.0,1,c100
215,Stem Genetics Inc,stem genetics,6.0,2.0,0,1,0,0.3333333333333333,3,0.0,1,g050
216,Meridian Automotive Systems Inc,meridian automotive systems,8.333333333333334,3.3333333333333335,0,1,0,0.48,3,0.0,0,a030
217,American Architectural Products,american architectural products,9.666666666666666,3.6666666666666665,1,0,0,0.3793103448275862,4,0.0,0,a620
218,Golden Opportunity Development Corp,golden opportunity development,9.333333333333334,3.6666666666666665,0,1,0,0.39285714285714285,4,0.0,0,o106
219,Teda Technologies International Inc.,teda technologies international,9.666666666666666,3.6666666666666665,0,1,0,0.4482758620689655,4,0.0,0,i530
220,ACT International Inc.,act international,8.0,3.0,1,0,0,0.4375,3,0.0,1,i530
221,HNR Ventures Inc,hnr ventures,5.5,1.5,0,1,0,0.2727272727272727,2,0.5,1,v053
222,My Personal Salon Inc.,my personal salon,5.0,2.0,0,1,0,0.4,2,0.0,0,p062
223,Body Art & Science Inc.,body art science,4.666666666666667,1.6666666666666667,1,0,0,0.42857142857142855,2,0.0,0,s205
224,Norampac Inc.,norampac,8.0,3.0,0,1,0,0.375,2,1.0,1,n060
225,Asia Media Group Corp,asia media,4.5,2.5,1,0,0,0.6666666666666666,3,0.0,1,m030
226,Armkel LLC,armkel llc,4.5,1.5,1,0,0,0.2222222222222222,3,0.5,1,a652
227,Huntington Rhodes Inc,huntington rhodes,8.0,2.0,0,1,0,0.3125,3,0.0,1,h053
228,Companhia de Saneamento do Parana SANEPAR,companhia de saneamento do parana sanepar,6.0,2.6666666666666665,1,0,0,0.4722222222222222,9,0.5,0,s050
229,NBC Acquisition Corp.,nbc acquisition,7.0,2.5,0,1,0,0.42857142857142855,3,0.0,1,a202
230,Resolution Performance Products LLC,resolution performance products llc,8.0,2.5,0,1,0,0.34375,4,0.0,0,p061
231,Peter Kiewit Sons Inc,peter kiewit sons,5.0,1.6666666666666667,0,1,0,0.4,3,0.0,0,k030
232,Microcell Telecommunications Inc,microcell telecommunications,13.5,5.0,0,1,0,0.4074074074074074,4,0.5,1,t040
233,GameHappy.com Inc.,gamehappycom,12.0,5.0,0,1,0,0.4166666666666667,2,1.0,1,g050
234,Brown Jordan International Inc.,brown jordan international,8.0,2.6666666666666665,1,0,0,0.375,5,0.0,0,i530
235,Metaldyne Corp,metaldyne,9.0,3.0,0,1,0,0.4444444444444444,2,1.0,1,m030
236,CSI Technologies Inc.,csi technologies,7.5,2.5,1,0,0,0.4,2,0.0,1,t020
237,Buffets Holdings Inc,buffets,7.0,2.0,1,0,0,0.2857142857142857,2,0.0,1,b010
238,Portrait Corporation of America Inc,portrait of america,5.666666666666667,2.3333333333333335,0,1,0,0.47058823529411764,3,0.0,0,p063
239,El Paso Production Holding Co,el paso production,5.333333333333333,2.0,1,0,0,0.4375,3,0.0,0,p603
240,Lee County Bancshares Inc.,lee county bancshares,6.333333333333333,1.6666666666666667,0,1,0,0.42105263157894735,3,0.3333333333333333,0,b052
241,H&E Equipment Services LLC,he equipment services llc,5.5,2.0,0,1,0,0.36363636363636365,5,0.0,0,e201
242,Chukchansi Economic Development Authority,chukchansi economic development authority,9.5,3.75,1,0,0,0.42105263157894735,4,0.25,0,d010
243,Coates Motorcycle Co Ltd.,coates motorcycle,8.0,3.0,1,0,0,0.4375,3,0.0,1,m030
244,First Banks Inc,first banks,5.0,1.0,0,1,0,0.2,2,0.0,1,f062
245,Intercard Inc.,intercard,9.0,3.0,0,1,0,0.3333333333333333,2,1.0,1,i530
246,Interline Brands Inc.,interline brands,7.5,2.0,0,1,0,0.3333333333333333,3,0.0,1,i530
247,National Wine & Spirits Inc.,national wine spirits,6.333333333333333,2.0,0,1,0,0.42105263157894735,4,0.0,0,n030
248,Jl French Automotive Casting,jl french automotive casting,6.25,2.0,0,1,0,0.36,3,0.0,0,a030
249,R.A.B. Holdings Inc.,rab,3.0,1.0,0,1,0,0.3333333333333333,1,0.0,1,r010
250,R.A.B. Enterprises Inc.,rab enterprises,7.0,2.5,0,1,0,0.35714285714285715,3,0.0,1,e530
251,Merrill Lynch & Co. Canada Ltd,merrill lynch canada,6.0,2.0,0,1,0,0.3333333333333333,3,0.0,0,m060
