original_name,company_name
Stem Genetics Inc,stem genetics
Meridian Automotive Systems Inc,meridian automotive systems
American Architectural Products,american architectural products
Golden Opportunity Development Corp,golden opportunity development
Teda Technologies International Inc.,teda technologies international
ACT International Inc.,act international
HNR Ventures Inc,hnr ventures
My Personal Salon Inc.,my personal salon
Body Art & Science Inc.,body art science
Norampac Inc.,norampac
Asia Media Group Corp,asia media
Armkel LLC,armkel llc
Huntington Rhodes Inc,huntington rhodes
Companhia de Saneamento do Parana SANEPAR,companhia de saneamento do parana sanepar
NBC Acquisition Corp.,nbc acquisition
Resolution Performance Products LLC,resolution performance products llc
Peter Kiewit Sons Inc,peter kiewit sons
Microcell Telecommunications Inc,microcell telecommunications
GameHappy.com Inc.,gamehappycom
Brown Jordan International Inc.,brown jordan international
Metaldyne Corp,metaldyne
CSI Technologies Inc.,csi technologies
Buffets Holdings Inc,buffets
Portrait Corporation of America Inc,portrait of america
El Paso Production Holding Co,el paso production
Lee County Bancshares Inc.,lee county bancshares
H&E Equipment Services LLC,he equipment services llc
Chukchansi Economic Development Authority,chukchansi economic development authority
Coates Motorcycle Co Ltd.,coates motorcycle
First Banks Inc,first banks
Intercard Inc.,intercard
Interline Brands Inc.,interline brands
National Wine & Spirits Inc.,national wine spirits
Jl French Automotive Casting,jl french automotive casting
R.A.B. Holdings Inc.,rab
R.A.B. Enterprises Inc.,rab enterprises
Merrill Lynch & Co. Canada Ltd,merrill lynch canada
Evergreen Holdings Inc,evergreen
Acclarent Inc,acclarent
Birds Eye Foods Inc,birds eye foods
CH2M HILL Companies Ltd.,chm hill companies
National Waterworks Inc,national waterworks
MQ Associates Inc,mq associates
THL Bedding Holding Co,thl bedding
Tops Holding Corp,tops
Elgin National Industries Inc,elgin national industries
Special Devices Inc,special devices
Quintiles Transnational Corp,quintiles transnational
Medex Inc,medex
Bertucci's Corp,bertuccis
Day International Group Inc,day international
Sensus Metering Systems Inc,sensus metering systems
MatchNet Inc,matchnet
Pierre Foods Inc,pierre foods
Canwest Media Inc,canwest media
Solyndra Inc,solyndra
Madison River Communications Corp,madison river communications
Grande Communications Holdings Inc,grande communications
Alion Science and Technology Corp,alion science and technology
Fallbrook Technologies Inc,fallbrook technologies
New Skies Satellites Holdings Ltd,new skies satellites
GXS Corp,gxs
China Hospitals Inc,china hospitals
Coffeyville Resources Inc,coffeyville resources
NPC Restaurant Holdings LLC,npc restaurant llc
Advanced Accessory Holdings Corp,advanced accessory
Houghton Mifflin Co,houghton mifflin
CRC Health Corp,crc health
eAcceleration Corp,eacceleration
Royster-Clark Ltd,roysterclark
Southern Star Central Corp,southern star central
Vertis Inc,vertis
Boise Cascade Holdings LLC,boise cascade llc
Vicorp Restaurants Inc,vicorp restaurants
US Oncology Inc,us oncology
Carter (William) Co,carter
Arnav Industries Inc,arnav industries
Condecor Inc,condecor
Corduroy Rubber Co,corduroy rubber
Greenbelt Cooperative Inc,greenbelt cooperative
Hill Brothers Inc,hill brothers
Monarch Tile Manufacturing,monarch tile manufacturing
Fine Products Inc,fine products
Noble Lumber Corp,noble lumber
Pittsburgh Testing Lab,pittsburgh testing lab
Esskay Inc,esskay
American Service Corp,american service
Hers Apparel Industries Inc,hers apparel industries
Madison Industries Inc,madison industries
SS/L Holdings Inc,ssl
Agrow Industries Inc,agrow industries
Pennstar Co,pennstar
Harvel Industries Corp,harvel industries
China SLP Filtration Technology Inc,china slp filtration technology
Newport General Corp,newport general
Pennsylvnia National Turf Club Inc,pennsylvnia national turf club
Westran Corp,westran
RobRoy Industries Inc-Old,robroy industries old
Sullivan County Harness,sullivan county harness
Slant Financial Corp,slant financial
Laribee Wire Inc,laribee wire
Vernon Co,vernon
Propex Inc,propex
Penn Dairies,penn dairies
Putnam Gellman Corp,putnam gellman
Randy Group Ltd,randy
Progress Rail Services Inc,progress rail services
Sage International Inc,sage international
Sherburne Corp,sherburne
Science Applications International Corp,science applications international
Wagner (E.R.)Manufacturing,wagnermanufacturing
United Overton Corp,united overton
Cuneo Press Inc,cuneo press
ABC Industries Inc,abc industries
General Metalcraft Inc,general metalcraft
Handschy Industries Inc,handschy industries
Crystal Tissue Co,crystal tissue
Radnor Holdings Corp,radnor
Belvac International Industries Ltd,belvac international industries
Burnley Corp,burnley
China Grove Cotton Mills Co,china grove cotton mills
Giant Tiger Stores Inc,giant tiger stores
Nachman Corp,nachman
Loren Industries Inc,loren industries
Shaver Food Marts,shaver food marts
Rix Corp-Old,rix old
Gabberts Inc,gabberts
Goodall Rubber Co,goodall rubber
Drexel Industries Inc/PA,drexel industries pa
FMS Management Systems Inc,fms management systems
Mile High Kennel Club,mile high kennel club
Bird Fund Inc,bird
Majestic Penn State Inc,majestic penn state
Kentucky Tennessee Clay Co,kentucky tennessee clay
Insight Communications Co Inc,insight communications
Lerner Stores Corp,lerner stores
McCrory Corp,mccrory
Merit Clothing Co,merit clothing
Scott Corp,scott
National Grape Co-operative,national grape operative
Microtron Industries Inc,microtron industries
Liberty Bell Racing Assn,liberty bell racing assn
Manischewitz (B.) Co,manischewitz
Brand Energy & Infrastructure Services Inc,brand energy infrastructure services
Rex Plastics Inc,rex plastics
Paysaver Catalog Showrooms,paysaver catalog showrooms
Ripley Industries Inc,ripley industries
White Villa Grocers,white villa grocers
Fort Atlantic Corp,fort atlantic
New Hampshire Jockey Club,new hampshire jockey club
Fostoria Glass Co,fostoria glass
NVDH Corp,nvdh
Monark Boat Co,monark boat
Bevis Industries Inc,bevis industries
American Standard Building Systems,american standard building systems
Centennial Turf Club Inc,centennial turf club
Pro-Fac Cooperative Inc.,profac cooperative
Port Huron Paper Co,port huron paper
Nibco Inc,nibco
Schwerman Trucking Co,schwerman trucking
Trans Sterling Inc,trans sterling
Central Freight Lines Inc-Old,central freight lines old
Valeron Corp,valeron
Allister Corp,allister
Crown Corp,crown
Continental Plastics & Chemicals,continental plastics chemicals
Mobil Alaska Pipeline Co,mobil alaska pipeline
Burris Chemical Inc,burris chemical
Minnesota Ohio Oil Corp,minnesota ohio oil
Parkwood Corp,parkwood
Kolpak Industries Inc,kolpak industries
April Industries Inc,april industries
Codding Enterprises,codding enterprises
Alabama By-Products,alabama byproducts
Future Communities Inc,future communities
Amfood Industries Inc,amfood industries
Palm Springs Lifestyle,palm springs lifestyle
Imperial 400 National Inc,imperial national
French (Fred F.) Investing,frenchinvesting
Genway Corp,genway
Transcon Builders Inc,transcon builders
Gladieux Corp,gladieux
Silco Inc,silco
Treasure Isle Inc,treasure isle
AKF Foods Inc,akf foods
NFD Inc,nfd
Chalet Gourmet Corp,chalet gourmet
Access Corp,access
Morse Electro Products Corp,morse electro products
Thermatool Corp,thermatool
Trans Graphics Inc,trans graphics
Tad's Enterprises Inc,tads enterprises
Ganot Corp,ganot
E.C.Ernst Inc,ecernst
Auric International Inc,auric international
General Recreation Inc,general recreation
Zwicker Electric Co Inc,zwicker electric
Cleveland Calendering & Coat,cleveland calendering coat
Kobacker Stores Inc,kobacker stores
Bun & Burger International Inc,bun burger international
Computer Business Supply Inc,computer business supply
Multivest Inc,multivest
Computer Installations Corp,computer installations
Atkinson (W.P. Bill),atkinson
American Hospital Management Corp,american hospital management
Americare Corp,americare
ASI Communications Inc,asi communications
Comitgo Inc,comitgo
Cleveland Pro Basketball Co,cleveland pro basketball
King James Corp,king james
Applied Data Inc,applied data
Vacco Industries,vacco industries
CBM Inc,cbm
Charlotte Motor Speedway Inc,charlotte motor speedway
Cannon Craft Co,cannon craft
Capital Facilities Corp,capital facilities
Burrillville Racing Assn,burrillville racing assn
Brew (Richard D.) & Co Inc,brew
Econo Lodges of America,econo lodges of america
Electrical Precision Meter,electrical precision meter
Coap Systems Inc,coap systems
Electronic Data Controls Corp,electronic data controls
Consolidated Capital Corp/UT,consolidated capital ut
Hinsdale Raceway Inc,hinsdale raceway
Hospitality International Inc,hospitality international
Great Western Airlines Inc,great western airlines
Harmony Inc,harmony
IBA Inc,iba
House of Adler Inc,house of adler
Marmon Group Inc,marmon
Liberty Bell Park,liberty bell park
Knickerbocker Village Inc.,knickerbocker village
Housing Systems Inc/NY,housing systems ny
Lexington Ave & 42nd,lexington ave nd
American Fidelity Investment,american fidelity investment
Wellman Industries Inc,wellman industries
Hawkeye Holdings Inc,hawkeye
Valdak Corp,valdak
RLC Investments Inc,rlc investments
Northern Precision Labs Inc,northern precision labs
Universal Housing & Development Co,universal housing development
Wildcat Mountain Corp,wildcat mountain
Intelsat Investments SA,intelsat investments
Vibration Mountings & Controls,vibration mountings controls
Audiofidelity Enterprises,audiofidelity enterprises
Neiman Marcus Group LTD LLC,neiman marcus llc
Aircraft Instrument & Development,aircraft instrument development
Atlantic Broadband Finance LLC,atlantic broadband finance llc
Chemold Corp,chemold
Shop Rite Foods Inc,shop rite foods
Sea Pines Co,sea pines
Enviromental Hydronics Inc,enviromental hydronics
McCombs Corp,mccombs
Craig Food Industries Inc,craig food industries
Stamford Water Co,stamford water
Daytona Beach General Hospital,daytona beach general hospital
Electro Powerpacs Corp,electro powerpacs
CC Jewelry Co Ltd,cc jewelry
Church Loans & Investments Trust,church loans investments trust
ASI,asi
Jerome Group Inc,jerome
Lackey Industries Inc,lackey industries
Wright Air Lines Inc,wright air lines
WJDX Inc,wjdx
Little Mint Inc,little mint
Financial Resources Corp,financial resources
Lees Inns of America Inc,lees inns of america
Standard Oil & Exploration Development,standard oil exploration development
Ferronics Inc,ferronics
Graybar Electric Co Inc,graybar electric
Lakeland Development Corp,lakeland development
Citizens Mortgage Investment Trust,citizens mortgage investment trust
Magnolia Chemical Co Inc,magnolia chemical
Income Properties Equity Trust,income properties equity trust
Metropolitan Industries Inc,metropolitan industries
Mail House Inc,mail house
Multicom Corp,multicom
Midwest Realty & Finance Inc,midwest realty finance
Multivox Corp of America,multivox of america
Mylee Digital Sciences Inc,mylee digital sciences
Macro Communications Inc,macro communications
First Mutual Inc,first mutual
New York Equities,new york equities
North Lake Corp,north lake
Pell Industries Inc,pell industries
Ben Wa International Inc,ben wa international
Nationwide Nursing Centers Inc,nationwide nursing centers
Computer Operations Inc,computer operations
Programs & Analysis Inc,programs analysis
Profile Sports Corp,profile sports
Gaynor & Co Inc,gaynor
Robinson Halpern Co,robinson halpern
RF&P Corp,rfp
Starch/Irna/Hooper Inc,starchirnahooper
Security Savesco,security savesco
Creative Foods Corp,creative foods
Tapecon Inc,tapecon
Super Stores Inc,super stores
Southward Ventures Inc,southward ventures
Taylor International Corp,taylor international
Scotco Data Com Inc,scotco data com
Tribune Oil Corp,tribune oil
Unisystems Inc,unisystems
Agway Inc,agway
Brunton Co,brunton
West Bay Financial Corp,west bay financial
Campbell Manufacturing Inc,campbell manufacturing
Educational Reading Aids Corp,educational reading aids
Mid-America Publishing Corp,midamerica publishing
Quanta Systems Corp,quanta systems
Stratoflex Inc,stratoflex
Trio Laboratories Inc,trio laboratories
Piedmont Real Estate Investment Trust,piedmont real estate investment trust
American Campgrounds,american campgrounds
American Book-Stratford Press,american bookstratford press
North Pennsylvania Railroad,north pennsylvania railroad
Pocono International Raceway Inc,pocono international raceway
Unicare Services Inc,unicare services
Arnold Constable Corp,arnold constable
American Snacks Inc,american snacks
Farmland Industries Inc,farmland industries
Imex Corp,imex
TB Holdings Co,tb
Coleman Systems,coleman systems
Borne Chemical Co Inc,borne chemical
DM Holdings Inc,dm
De Anza Land & Leisure Corp,de anza land leisure
Digital Applications Inc,digital applications
Digitek Corp,digitek
CMC Real Estate Corp,cmc real estate
General Electrodynamics Corp,general electrodynamics
Guidance Technology Inc,guidance technology
Guardian Development Corp,guardian development
Lehigh Coal & Navigation Co,lehigh coal navigation
Westcalind Corp,westcalind
Taca International Airlines SA,taca international airlines
Omni-Wave Electronics Corp,omniwave electronics
Consumer Acceptance & Loan,consumer acceptance loan
Franklin Discount Co,franklin discount
TX Industries Inc,tx industries
Union Trust Inc,union trust
Allstate Financial Corp,allstate financial
Century Acceptance Corp,century acceptance
Hermetite Corp,hermetite
Park Investment Co,park investment
Rocky Mountain Aviation Inc,rocky mountain aviation
Associates Corp of North America,associates of north america
Signal Finance Corp,signal finance
Shapely Inc,shapely
McCulloch Properties Credit Corp,mcculloch properties credit
National Computer Analysts,national computer analysts
Post American Corp,post american
Fownes Brothers & Co Inc,fownes brothers
Home State Financial Service Inc,home state financial service
ABB-Asea Brown Boveri Group,abbasea brown boveri
California Petroleum Transport Corp,california petroleum transport
SCOR US Corp,scor us
Montgomery Ward Credit Corp,montgomery ward credit
Tax Computer Systems Inc,tax computer systems
Automated Procedures,automated procedures
21st Century Oncology Holdings Inc,st century oncology
Automated Technology Corp,automated technology
Cap Ltd,cap
Computer Image Corp,computer image
Basic American Corp,basic american
Data Research Corp,data research
Indiana Limestone Co Inc,indiana limestone
American Mortgage & Investment Co,american mortgage investment
Advanced Drilling Systems Inc,advanced drilling systems
Brookstone Inc,brookstone
Consolidated Resources Inc,consolidated resources
VWR International Inc,vwr international
Data-Link Corp,datalink
Data Probe Inc,data probe
McKee Income Realty Trust,mckee income realty trust
New Jersey Realty Co,new jersey realty
Instant Transaction Corp,instant transaction
True Value Co,true value
Dade Engineering Corp,dade engineering
Highland Financial Trust,highland financial trust
Astra Corp,astra
Baltimore & Ohio Railroad Co,baltimore ohio railroad
West Virginia Acceptance Co,west virginia acceptance
Apexx Investing Group,apexx investing
Stewart & Stevenson LLC,stewart stevenson llc
Summit Mortgage Investors,summit mortgage investors
RDA Holding Co,rda
Drilex Oil & Gas Inc,drilex oil gas
Kavanau Real Estate Trust,kavanau real estate trust
Dura-Plex Industries Inc,duraplex industries
Dean Research Corp,dean research
Highway Equipment Co,highway equipment
American Energy & Technology,american energy technology
Calvert Telecommunications,calvert telecommunications
Electronic Transistors Corp,electronic transistors
Columbia Equities Inc,columbia equities
Derand Real Estate Investment Trust,derand real estate investment trust
Environmental Control,environmental control
Grove Press Inc,grove press
Extek Microsystems Inc,extek microsystems
First Pacific Corp,first pacific
Continental Capital Corp,continental capital
KnuSaga Corp,knusaga
American Crystal Sugar Co,american crystal sugar
Fanning Enterprises Inc,fanning enterprises
Sovereign Americas Arts Corp,sovereign americas arts
Gam Rad Inc,gam rad
Graphics Diversified Inc,graphics diversified
Building & Land Technology,building land technology
Enrec Corp,enrec
Northwestern Drug,northwestern drug
MVC Industries Inc,mvc industries
Inter-Polymer Industries Inc,interpolymer industries
Rendezvous Trails of America Inc,rendezvous trails of america
South States Oil & Gas Co,south states oil gas
Westland Development Co. Inc.,westland development
Croddy Mortgage Investment Trust,croddy mortgage investment trust
Guaranty Trust Inc,guaranty trust
Ladd Enterprises Inc,ladd enterprises
Miller Medical Electronics,miller medical electronics
NSA Inc,nsa
Montebello Furniture Industries,montebello furniture industries
Island Resources Inc,island resources
Weingarten Properties Inc,weingarten properties
Freeze Dry Products Inc,freeze dry products
Kuan Corp,kuan
Key Punch Computer Temps Inc,key punch computer temps
Scanfax Systems Corp,scanfax systems
Gladstone Resources Inc,gladstone resources
NCD Financial Inc,ncd financial
Symmar Inc,symmar
Grandview Mines,grandview mines
Mammoth Mining Co,mammoth mining
Delaware National Corp,delaware national
Securities of America Inc,securities of america
Stephens (Win) Cos Inc,stephenscos
Titan Wells Inc,titan wells
Mid-South Corp,midsouth
Webb's Stores Ltd,webbs stores
Jaeger of Canada Inc,jaeger of canada
Gibralter Pari-Mutuel Inc,gibralter parimutuel
American Family Financial Services Inc,american family financial services
Lehigh Valley Railroad Co,lehigh valley railroad
Hibbard Spencer Bartlett,hibbard spencer bartlett
Postal Finance Co,postal finance
Edinburg Community Hotel Inc,edinburg community hotel
Prince Consolidated Mining,prince consolidated mining
Sinclair Venezuelan Oil Co,sinclair venezuelan oil
First Medical Corp,first medical
Canada Creek Ranch Assn Inc,canada creek ranch assn
Conklin Co Inc,conklin
Copps Corp,copps
Fleur de Lis Motor Inns Inc,fleur de lis motor inns
McCormick Mortgage Investors,mccormick mortgage investors
Azusa Valley Water Co,azusa valley water
Tintic Mountain Mining Corp,tintic mountain mining
Western Gold Mining Inc,western gold mining
Copley Power Inc,copley power
Sanyo Manufacturing Corp,sanyo manufacturing
Tech Serv Inc,tech serv
Park City Consolidated Mines,park city consolidated mines
Boston & Maine Corp,boston maine
Eureka Standard Consolidated Mining Company,eureka standard consolidated mining company
Deer Trail Development Corp,deer trail development
Westates-Italo Co,westatesitalo
American Service Bureau Inc,american service bureau
Bureau of National Affairs,bureau of national affairs
Financial Land Corp,financial land
Garment Capitol Associates,garment capitol associates
Hydratecs Inc,hydratecs
Multi Operations Inc,multi operations
North Central Development Co,north central development
Pismo Coast Village Inc,pismo coast village
Realty Inns Inc,realty inns
Sentinel Resources Inc-Old,sentinel resources old
Volu-Sol Medical Industries,volusol medical industries
Wits Inc,wits
Fastcrete Corp,fastcrete
Canandaigua Enterprises Corp,canandaigua enterprises
Compu-Sort Systems Inc,compusort systems
United Financial Operations Inc,united financial operations
Consolidated International,consolidated international
Wolf Corp,wolf
Ace Hardware Corp,ace hardware
Data Systems Inc,data systems
Empire State Building Associates LLC,empire state building associates llc
Struthers Scientific,struthers scientific
Magna Corp,magna
Green Pond Mountain,green pond mountain
Muirfield Ltd,muirfield
OGR Service Corp,ogr service
TTX Co,ttx
General International Corp,general international
Kingsford Industries Inc,kingsford industries
Sheldon Petroleum Co,sheldon petroleum
Enflo Corp,enflo
Resort World NV,resort world
Franklin Creamery Inc,franklin creamery
Odyssey Oil Co,odyssey oil
Interstate Motor Hotels Inc,interstate motor hotels
Our Own Hardware Co,our own hardware
Real Estate Equities Corp,real estate equities
Wisconsin Finance Corp,wisconsin finance
Entropy Ltd,entropy
Town Enterprises,town enterprises
Penton Inc,penton
Gold Kist Inc,gold kist
Miles Laboratories Inc,miles laboratories
Hahn Inc,hahn
Sonic Industries Inc,sonic industries
Liggett Group Inc-Old,liggett old
East Tennessee Natural Gas,east tennessee natural gas
Monolith Portland Cement Co,monolith portland cement
Irvin Industries Inc,irvin industries
Hawker Beechcraft Acquisition Co LLC,hawker beechcraft acquisition llc
Alpex Computer Corp,alpex computer
Athena Communications Corp,athena communications
Bokum Resources Corp,bokum resources
Jaeger Energy Corp,jaeger energy
Quaker City Industries Inc,quaker city industries
Pyro Technology Corp,pyro technology
Travelodge International Inc,travelodge international
Trexar Corp,trexar
Van Der Hout Associates Ltd,van der hout associates
Florida Gas Transmission Co,florida gas transmission
Bristol Brass Liquidating Corp,bristol brass liquidating
Lafayette Radio Electronic Corp,lafayette radio electronic
Simkins Industries,simkins industries
Tiffany Industries,tiffany industries
Whippany Paperboard,whippany paperboard
Woolworth (F.W.) Plc,woolworth
General Hobbies,general hobbies
Monmouth Park Jockey Club,monmouth park jockey club
Technical Equipment Leasing,technical equipment leasing
Cencom Inc,cencom
Copenhagen Telephone Co Inc,copenhagen telephone
Rock Hill Telephone Co,rock hill telephone
McCrory Parent Corp,mccrory parent
Specialty Restaurants,specialty restaurants
Albuquerque Western Solar Industries,albuquerque western solar industries
Alloy Metal Products Inc,alloy metal products
Atlantic Telecasting Corp,atlantic telecasting
California Leisure Products,california leisure products
Data Automation Co Inc,data automation
Manning (Martha) Co,manning
Panelfab International Corp,panelfab international
Telefile Computer Corp,telefile computer
Templet Industries Inc,templet industries
Gaynor-Stafford Industries,gaynorstafford industries
Twentieth Century-Fox Film,twentieth centuryfox film
745 Property Investments,property investments
Gambles Credit Corp,gambles credit
Momentive Performance Materials Holdings LLC,momentive performance materials llc
Unicorp Realty Investors Inc,unicorp realty investors
Hunter Petroleum Corp,hunter petroleum
Titan Energy Corp,titan energy
Olympic Gas & Oil Inc,olympic gas oil
Piedmont Industries,piedmont industries
Reading Industries,reading industries
Wells Benrus Corp,wells benrus
Aldon Industries Inc,aldon industries
Atlanta/Lasalle Corp,atlantalasalle
Elias Brothers Restaurants,elias brothers restaurants
Keldon Oil Co-Old,keldon oil old
